freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.902e+02,1.818e+01,8.393e+00,9.167e+02
1.6,5.177e+02,4.691e+01,2.161e+01,5.862e+02
3.2,4.336e+01,5.243e+01,2.351e+01,1.193e+02
4.8,4.002e+02,5.468e+01,2.058e+01,4.755e+02
6.3,1.278e+03,5.527e+01,2.255e+01,1.355e+03
7.9,2.068e+03,5.505e+01,2.389e+01,2.147e+03
9.5,3.049e+03,5.681e+01,2.452e+01,3.130e+03
11.1,3.981e+03,5.868e+01,3.597e+01,4.075e+03
12.7,5.160e+03,6.369e+01,5.045e+01,5.274e+03
14.3,6.657e+03,6.127e+01,7.844e+01,6.797e+03
15.8,7.854e+03,5.447e+01,6.104e+01,7.970e+03
17.4,8.957e+03,5.198e+01,4.392e+01,9.053e+03
19.0,1.112e+04,6.082e+01,4.461e+01,1.122e+04
20.6,1.318e+04,5.975e+01,4.837e+01,1.329e+04
22.2,1.541e+04,5.789e+01,4.164e+01,1.550e+04
23.8,1.850e+04,6.266e+01,4.480e+01,1.860e+04
25.3,2.135e+04,5.873e+01,4.924e+01,2.146e+04
26.9,2.534e+04,5.814e+01,5.438e+01,2.545e+04
28.5,2.897e+04,6.673e+01,6.212e+01,2.910e+04
30.1,3.338e+04,7.391e+01,7.284e+01,3.353e+04
31.7,3.956e+04,8.167e+01,8.089e+01,3.972e+04
33.3,4.419e+04,6.841e+01,8.599e+01,4.435e+04
34.8,4.969e+04,5.434e+01,9.566e+01,4.984e+04
36.4,5.996e+04,6.169e+01,1.140e+02,6.014e+04
38.0,7.238e+04,7.221e+01,1.223e+02,7.258e+04
39.6,8.380e+04,8.241e+01,1.410e+02,8.403e+04
41.2,9.057e+04,1.081e+02,1.786e+02,9.086e+04
42.8,1.087e+05,1.465e+02,2.092e+02,1.090e+05
44.3,1.418e+05,1.545e+02,3.289e+02,1.423e+05
45.9,1.634e+05,1.169e+02,5.165e+02,1.641e+05
47.5,1.854e+05,1.557e+02,5.564e+02,1.862e+05
49.1,2.439e+05,2.519e+02,9.543e+02,2.451e+05
50.7,3.150e+05,6.947e+02,2.903e+03,3.186e+05
52.3,3.556e+05,2.157e+03,4.209e+03,3.620e+05
53.8,4.299e+05,4.353e+03,4.039e+03,4.383e+05
55.4,6.081e+05,7.294e+03,3.892e+03,6.193e+05
57.0,9.252e+05,1.246e+04,6.982e+03,9.447e+05
58.6,1.151e+06,1.426e+04,1.541e+04,1.181e+06
60.2,1.298e+06,1.043e+04,1.944e+04,1.328e+06
61.8,1.846e+06,2.124e+04,1.543e+04,1.883e+06
63.3,3.105e+06,5.366e+04,1.460e+04,3.174e+06
64.9,5.419e+06,8.904e+04,2.494e+04,5.533e+06
66.5,7.005e+06,1.022e+05,3.007e+04,7.137e+06
68.1,5.954e+06,7.981e+04,2.313e+04,6.057e+06
69.7,4.022e+06,4.750e+04,1.404e+04,4.083e+06
71.3,2.521e+06,2.457e+04,8.101e+03,2.554e+06
72.8,1.524e+06,1.208e+04,4.823e+03,1.541e+06
74.4,9.560e+05,5.882e+03,2.953e+03,9.649e+05
76.0,7.275e+05,3.445e+03,2.126e+03,7.331e+05
77.6,5.437e+05,2.108e+03,1.580e+03,5.474e+05
79.2,4.376e+05,1.457e+03,1.242e+03,4.403e+05
80.8,3.672e+05,1.119e+03,1.089e+03,3.694e+05
82.3,3.140e+05,9.015e+02,1.068e+03,3.159e+05
83.9,2.722e+05,7.739e+02,1.030e+03,2.740e+05
85.5,2.380e+05,7.128e+02,1.014e+03,2.397e+05
87.1,2.034e+05,6.092e+02,9.981e+02,2.050e+05
88.7,1.709e+05,5.113e+02,1.072e+03,1.725e+05
90.3,1.444e+05,4.306e+02,1.115e+03,1.459e+05
91.8,1.242e+05,3.808e+02,1.109e+03,1.257e+05
93.4,1.062e+05,3.352e+02,1.278e+03,1.078e+05
