freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.925e+01,2.051e+03,1.242e+02,2.214e+03
1.6,4.321e+01,1.135e+03,1.137e+02,1.292e+03
3.2,3.458e+01,5.249e+01,6.134e+01,1.484e+02
4.8,3.463e+01,4.543e+02,6.524e+01,5.541e+02
6.4,3.808e+01,1.523e+03,6.431e+01,1.625e+03
8.0,7.993e+01,2.392e+03,6.307e+01,2.535e+03
9.6,8.069e+01,2.449e+03,6.046e+01,2.591e+03
11.2,4.142e+01,3.319e+03,6.577e+01,3.426e+03
12.8,4.012e+01,4.815e+03,7.183e+01,4.927e+03
14.4,3.823e+01,6.402e+03,6.552e+01,6.505e+03
16.0,3.989e+01,8.108e+03,6.725e+01,8.215e+03
17.6,4.301e+01,1.042e+04,7.416e+01,1.054e+04
19.2,5.557e+01,1.357e+04,8.279e+01,1.370e+04
20.7,6.639e+01,1.721e+04,1.075e+02,1.738e+04
22.3,5.194e+01,2.007e+04,1.138e+02,2.023e+04
23.9,5.136e+01,2.189e+04,1.592e+02,2.210e+04
25.5,5.338e+01,2.426e+04,1.906e+02,2.450e+04
27.1,6.077e+01,2.951e+04,1.738e+02,2.975e+04
28.7,7.250e+01,3.586e+04,1.958e+02,3.613e+04
30.3,8.812e+01,4.536e+04,2.305e+02,4.567e+04
31.9,1.013e+02,5.757e+04,2.724e+02,5.794e+04
33.5,1.260e+02,6.883e+04,4.288e+02,6.938e+04
35.1,2.086e+02,8.384e+04,6.002e+02,8.465e+04
36.7,3.370e+02,1.101e+05,7.888e+02,1.113e+05
38.3,5.169e+02,1.474e+05,1.069e+03,1.490e+05
39.9,7.127e+02,1.911e+05,1.619e+03,1.934e+05
41.5,9.767e+02,2.355e+05,2.212e+03,2.387e+05
43.1,1.326e+03,3.242e+05,3.281e+03,3.288e+05
44.7,1.796e+03,4.904e+05,5.926e+03,4.981e+05
46.3,2.787e+03,7.917e+05,1.246e+04,8.070e+05
47.9,5.233e+03,1.396e+06,2.850e+04,1.430e+06
49.5,1.566e+04,2.943e+06,8.317e+04,3.042e+06
51.1,6.917e+04,6.551e+06,3.017e+05,6.922e+06
52.7,1.335e+05,8.778e+06,7.054e+05,9.617e+06
54.3,1.256e+05,7.277e+06,1.081e+06,8.483e+06
55.9,1.248e+05,5.406e+06,9.518e+05,6.483e+06
57.5,1.730e+05,4.603e+06,4.126e+05,5.189e+06
59.1,2.194e+05,4.021e+06,1.385e+05,4.378e+06
60.6,1.944e+05,3.528e+06,4.739e+04,3.770e+06
62.2,1.139e+05,2.926e+06,1.464e+04,3.055e+06
